,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
0,2021-04-27 11:02:10,25-34,Education (Higher Education),Research and Instruction Librarian,,55000,0.0,USD,,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White,55000.0,5
1,2021-04-27 11:02:22,25-34,Computing or Tech,Change & Internal Communications Manager,,54600,4000.0,GBP,,,United Kingdom,,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White,81485.08656052285,5
2,2021-04-27 11:02:38,25-34,"Accounting, Banking & Finance",Marketing Specialist,,34000,0.0,USD,,,US,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White,34000.0,2
3,2021-04-27 11:02:41,25-34,Nonprofits,Program Manager,,62000,3000.0,USD,,,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White,65000.0,5
4,2021-04-27 11:02:42,25-34,"Accounting, Banking & Finance",Accounting Manager,,60000,7000.0,USD,,,US,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White,67000.0,5
5,2021-04-27 11:02:46,25-34,Education (Higher Education),Scholarly Publishing Librarian,,62000,0.0,USD,,,USA,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White,62000.0,2
7,2021-04-27 11:03:00,25-34,Education (Primary/Secondary),Librarian,"High school, FT",50000,0.0,USD,,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White,50000.0,5
8,2021-04-27 11:03:01,45-54,Computing or Tech,Systems Analyst,Data developer/ETL Developer,112000,10000.0,USD,,,US,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White,122000.0,21
9,2021-04-27 11:03:02,35-44,"Accounting, Banking & Finance",Senior Accountant,,45000,0.0,USD,,I work for a Charter School,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",45000.0,21
10,2021-04-27 11:03:03,25-34,Nonprofits,Office Manager,,47500,0.0,USD,,,United States,,"Boston, MA",5-7 years,5-7 years,College degree,Woman,White,47500.0,5
11,2021-04-27 11:03:07,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,,62000,0.0,USD,,,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White",62000.0,5
12,2021-04-27 11:03:09,35-44,"Accounting, Banking & Finance",Manager of Information Services,,100000,0.0,USD,,,United States,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White",100000.0,11
14,2021-04-27 11:03:11,18-24,Health care,Patient care coordinator,,32000,0.0,CAD,,,Canada,,Remote,1 year or less,1 year or less,College degree,Woman,White,25794.28253606161,1
16,2021-04-27 11:03:13,35-44,Business or Consulting,Executive Assistant,,85000,5000.0,USD,,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman,White,90000.0,8
18,2021-04-27 11:03:21,35-44,Business or Consulting,Senior Manager,,98000,1000.0,USD,,,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman,White,99000.0,2
19,2021-04-27 11:03:23,35-44,Education (Higher Education),Assistant Director of Academic Advising,,54000,0.0,USD,,,United States,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White,54000.0,11
20,2021-04-27 11:03:24,25-34,Health care,Data Programmer Analyst,,74000,0.0,USD,,,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White,74000.0,5
21,2021-04-27 11:03:24,35-44,Nonprofits,Program Coordinator & Assistant Editor,,50000,0.0,USD,,,United States,,Atlanta,5-7 years,2 - 4 years,PhD,Woman,White,50000.0,2
22,2021-04-27 11:03:27,35-44,Nonprofits,Event Planner,,63000,0.0,CAD,,,Canada,,Toronto,11 - 20 years,8 - 10 years,Master's degree,Woman,White,50782.4937428713,8
23,2021-04-27 11:03:29,35-44,Government and Public Administration,Researcher,,96000,1000.0,USD,,,United States,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American,97000.0,2
25,2021-04-27 11:03:34,35-44,Education (Higher Education),Communications Specialist,,60000,0.0,USD,,,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White,60000.0,1
26,2021-04-27 11:03:38,25-34,Nonprofits,Program Director,I manage staff members who each manage 8-15 other people.,62000,0.0,USD,,,US,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White,62000.0,2
27,2021-04-27 11:03:40,35-44,Law,Bookkeeper/Billing Manager,,48000,4000.0,USD,,,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer,52000.0,2
28,2021-04-27 11:03:41,35-44,Government and Public Administration,Economist,,140000,0.0,USD,,,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White,140000.0,11
29,2021-04-27 11:03:43,25-34,Engineering or Manufacturing,Research Engineer,,80000,0.0,USD,,,United States,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White,80000.0,5
30,2021-04-27 11:03:44,25-34,Nonprofits,Volunteer and Giving Coordinator,,39000,0.0,USD,,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White,39000.0,2
31,2021-04-27 11:03:44,35-44,Media & Digital,Editor,,125000,0.0,USD,,,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman,White,125000.0,8
32,2021-04-27 11:03:45,25-34,"Accounting, Banking & Finance",Financial Advisor,,230000,0.0,USD,,Commission based,USA,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White,230000.0,11
33,2021-04-27 11:03:46,35-44,"Accounting, Banking & Finance",Accounting Manager,,110000,15000.0,USD,,,US,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White,125000.0,11
34,2021-04-27 11:03:54,25-34,Nonprofits,Administrative and HR Manager,,50000,0.0,USD,,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,50000.0,2
35,2021-04-27 11:03:55,35-44,Education (Higher Education),Senior IRB Analyst,"State university, higher ed research adminstration",68000,0.0,USD,,,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White,68000.0,2
36,2021-04-27 11:03:56,18-24,Media & Digital,Reporter,,41000,100.0,USD,,,United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman,White,41100.0,2
37,2021-04-27 11:03:57,25-34,"Accounting, Banking & Finance",Senior Administrator,,76000,10000.0,USD,,,United States,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White,86000.0,2
38,2021-04-27 11:03:57,35-44,Government and Public Administration,Staff Services Manager II,"Mid-level manager, team of 13",78000,0.0,USD,,,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White,78000.0,5
39,2021-04-27 11:03:59,25-34,"Accounting, Banking & Finance",Receptionist,,37000,0.0,USD,,,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White,37000.0,2
40,2021-04-27 11:04:01,45-54,Engineering or Manufacturing,Lead Engineer,supervisor level with no direct reports,100000,50000.0,USD,,,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White,150000.0,21
41,2021-04-27 11:04:01,35-44,"Marketing, Advertising & PR",Senior Copywriter,,35000,6000.0,GBP,,,UK,,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White,57011.74998261837,11
42,2021-04-27 11:04:02,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,,65000,0.0,USD,,,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White,65000.0,5
43,2021-04-27 11:04:04,25-34,Computing or Tech,Principal Software Engineer,,187500,5000.0,USD,,,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White,192500.0,5
44,2021-04-27 11:04:04,25-34,Computing or Tech,Intelligence Analyst,,110000,20000.0,USD,,"Around 20,000 a year in stock",USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White,130000.0,8
45,2021-04-27 11:04:04,25-34,Nonprofits,Project Manager,,66625,1500.0,USD,,,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",68125.0,8
46,2021-04-27 11:04:07,35-44,Computing or Tech,Mobile developer,,144600,2500.0,USD,,,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White,147100.0,5
47,2021-04-27 11:04:09,35-44,Computing or Tech,Product Design Director,,200850,40000.0,USD,,,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White,240850.0,11
48,2021-04-27 11:04:10,25-34,Engineering or Manufacturing,Engineering specialist,,120000,1500.0,CAD,,,Canada,,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White,97937.66650410894,8
50,2021-04-27 11:04:11,35-44,Education (Higher Education),Research and Development Engineer 3,Process Engineer in a University Cleanroom,96000,0.0,USD,,,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White,96000.0,5
51,2021-04-27 11:04:11,25-34,Education (Primary/Secondary),Science Teacher (Public High School),,53000,1000.0,USD,,,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White,54000.0,1
52,2021-04-27 11:04:15,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",,95000,10000.0,USD,,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White,105000.0,8
53,2021-04-27 11:04:19,35-44,Computing or Tech,Managed Services Sales Coordinator,Primarily proposal writing,72000,3000.0,USD,,,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White,75000.0,5
