country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
USA,Master's degree,Woman,White,55000,5,40.0792,-98.8164
USA,College degree,Woman,White,34000,2,40.0792,-98.8164
USA,College degree,Woman,White,65000,5,40.0792,-98.8164
USA,College degree,Woman,White,67000,5,40.0792,-98.8164
USA,Master's degree,Man,White,62000,2,40.0792,-98.8164
USA,Master's degree,Man,White,50000,5,40.0792,-98.8164
USA,College degree,Woman,White,122000,21,40.0792,-98.8164
USA,College degree,Woman,White,45000,21,40.0792,-98.8164
USA,College degree,Woman,White,47500,5,40.0792,-98.8164
USA,PhD,Woman,White,62000,5,40.0792,-98.8164
USA,College degree,Man,White,100000,11,40.0792,-98.8164
USA,College Degree,Woman,White,90000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,99000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,54000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,74000,5,40.0792,-98.8164
USA,PhD,Woman,White,50000,2,40.0792,-98.8164
USA,PhD,Woman,Asian or Asian American,97000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,60000,1,40.0792,-98.8164
USA,College degree,Man,White,62000,2,40.0792,-98.8164
USA,College degree,Woman,Another option not listed here or prefer not to answer,52000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,140000,11,40.0792,-98.8164
USA,College degree,Woman,White,80000,5,40.0792,-98.8164
USA,College degree,Woman,White,39000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,125000,8,40.0792,-98.8164
USA,College degree,Woman,White,230000,11,40.0792,-98.8164
USA,College degree,Woman,White,125000,11,40.0792,-98.8164
USA,College degree,Woman,White,50000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,68000,2,40.0792,-98.8164
USA,College degree,Woman,White,41100,2,40.0792,-98.8164
USA,College degree,Woman,White,86000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,78000,5,40.0792,-98.8164
USA,College degree,Woman,White,37000,2,40.0792,-98.8164
USA,College degree,Woman,White,150000,21,40.0792,-98.8164
USA,College degree,Man,White,65000,5,40.0792,-98.8164
USA,College degree,Woman,White,192500,5,40.0792,-98.8164
USA,Master's degree,Man,White,130000,8,40.0792,-98.8164
USA,College degree,Woman,White,68125,8,40.0792,-98.8164
USA,PhD,Woman,White,147100,5,40.0792,-98.8164
USA,College degree,Woman,White,240850,11,40.0792,-98.8164
USA,PhD,Woman,White,96000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,54000,1,40.0792,-98.8164
USA,College degree,Woman,White,105000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,75000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,106000,11,40.0792,-98.8164
USA,PhD,Woman,"Hispanic, Latino, or Spanish origin",115000,5,40.0792,-98.8164
USA,College degree,Woman,White,103500,5,40.0792,-98.8164
USA,College Degree,Woman,White,33200,2,40.0792,-98.8164
USA,College degree,Woman,White,52000,8,40.0792,-98.8164
USA,Master's degree,Non-binary,White,70000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,92400,5,40.0792,-98.8164
USA,Master's degree,Woman,White,53000,11,40.0792,-98.8164
USA,College degree,Woman,White,36000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,38000,2,40.0792,-98.8164
USA,Master's degree,Man,White,87000,2,40.0792,-98.8164
USA,College Degree,Woman,White,45000,5,40.0792,-98.8164
USA,College degree,Woman,Another option not listed here or prefer not to answer,88000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,71000,8,40.0792,-98.8164
USA,PhD,Woman,White,71000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,75000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,80000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,125000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,65000,11,40.0792,-98.8164
USA,College degree,Woman,White,55000,2,40.0792,-98.8164
USA,College degree,Woman,White,118000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,65000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,93500,2,40.0792,-98.8164
USA,Master's degree,Woman,White,240000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,90000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,70000,11,40.0792,-98.8164
USA,College degree,Man,White,98166,21,40.0792,-98.8164
USA,Master's degree,Woman,White,63500,1,40.0792,-98.8164
USA,College degree,Woman,White,49700,2,40.0792,-98.8164
USA,College Degree,Man,White,95000,31,40.0792,-98.8164
USA,College degree,Woman,White,39940,2,40.0792,-98.8164
USA,College degree,Man,White,53000,5,40.0792,-98.8164
USA,College Degree,Woman,White,47255,21,40.0792,-98.8164
USA,College degree,Woman,White,34361,11,40.0792,-98.8164
USA,College degree,Woman,White,170000,21,40.0792,-98.8164
USA,College degree,Woman,White,20000,2,40.0792,-98.8164
USA,Master's degree,Woman,Asian or Asian American,123303,5,40.0792,-98.8164
USA,PhD,Man,White,105000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,105000,5,40.0792,-98.8164
USA,College degree,Woman,White,121500,8,40.0792,-98.8164
USA,College degree,Woman,White,75000,11,40.0792,-98.8164
USA,PhD,Woman,White,160000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,50000,5,40.0792,-98.8164
USA,College degree,Woman,White,85000,21,40.0792,-98.8164
USA,College degree,Woman,White,42000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,54100,8,40.0792,-98.8164
USA,College degree,Woman,White,101500,21,40.0792,-98.8164
USA,College degree,Woman,White,85000,11,40.0792,-98.8164
USA,College degree,Woman,White,62000,5,40.0792,-98.8164
USA,College degree,Man,White,130000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,55000,21,40.0792,-98.8164
USA,College degree,Woman,White,59015,8,40.0792,-98.8164
USA,College degree,Woman,White,74000,5,40.0792,-98.8164
USA,College degree,Woman,White,100000,21,40.0792,-98.8164
USA,College Degree,Woman,White,38000,11,40.0792,-98.8164
USA,College Degree,Woman,White,58500,8,40.0792,-98.8164
USA,College degree,Woman,White,85000,11,40.0792,-98.8164
USA,College degree,Woman,White,62000,11,40.0792,-98.8164
USA,Master's degree,Non-binary,White,74000,2,40.0792,-98.8164
USA,College degree,Woman,White,64000,2,40.0792,-98.8164
USA,College degree,Woman,White,92000,8,40.0792,-98.8164
USA,Master's degree,Man,White,42000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,100000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,63129,1,40.0792,-98.8164
USA,College degree,Woman,White,130000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,60000,5,40.0792,-98.8164
USA,College degree,Woman,White,37000,5,40.0792,-98.8164
USA,College degree,Woman,White,88000,5,40.0792,-98.8164
USA,College degree,Woman,White,65000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,92000,5,40.0792,-98.8164
USA,College degree,Man,White,69000,2,40.0792,-98.8164
USA,College degree,Woman,White,35000,11,40.0792,-98.8164
USA,College degree,Woman,White,75000,5,40.0792,-98.8164
USA,College degree,Man,"Hispanic, Latino, or Spanish origin",122500,5,40.0792,-98.8164
USA,Master's degree,Prefer not to answer,"Hispanic, Latino, or Spanish origin",119000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,70000,11,40.0792,-98.8164
USA,College Degree,Woman,White,145000,11,40.0792,-98.8164
USA,College degree,Woman,White,400000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,61200,11,40.0792,-98.8164
USA,College degree,Woman,Black or African American,70000,5,40.0792,-98.8164
USA,College degree,Woman,White,52000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,57000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,83200,8,40.0792,-98.8164
USA,College degree,Woman,White,77500,2,40.0792,-98.8164
USA,College degree,Woman,Another option not listed here or prefer not to answer,225000,11,40.0792,-98.8164
USA,PhD,Woman,Asian or Asian American,220000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,80000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,52500,5,40.0792,-98.8164
USA,College degree,Woman,White,94000,2,40.0792,-98.8164
USA,College degree,Woman,White,57000,5,40.0792,-98.8164
USA,College degree,Woman,White,91000,5,40.0792,-98.8164
USA,College degree,Woman,White,90000,11,40.0792,-98.8164
USA,College degree,Woman,Asian or Asian American,76000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,75000,5,40.0792,-98.8164
USA,PhD,Non-binary,White,62500,2,40.0792,-98.8164
USA,Master's degree,Woman,White,80000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,70000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,34299,2,40.0792,-98.8164
USA,Master's degree,Woman,White,50000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,125000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,275000,31,40.0792,-98.8164
USA,College degree,Woman,White,148000,11,40.0792,-98.8164
USA,College degree,Woman,White,54580,11,40.0792,-98.8164
USA,Master's degree,Man,White,71000,11,40.0792,-98.8164
USA,College degree,Woman,White,53000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,82160,11,40.0792,-98.8164
USA,College degree,Woman,"Hispanic, Latino, or Spanish origin",25700,5,40.0792,-98.8164
USA,Master's degree,Woman,White,77000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,50000,5,40.0792,-98.8164
USA,College degree,Non-binary,White,31616,2,40.0792,-98.8164
USA,Master's degree,Woman,White,97000,8,40.0792,-98.8164
USA,College degree,Woman,White,62000,1,40.0792,-98.8164
USA,College degree,Non-binary,White,71000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,88000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,76000,2,40.0792,-98.8164
USA,College degree,Non-binary,White,195000,21,40.0792,-98.8164
USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",45760,2,40.0792,-98.8164
USA,College degree,Woman,White,86000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,56000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,125000,5,40.0792,-98.8164
USA,College degree,Woman,White,175000,11,40.0792,-98.8164
USA,College degree,Woman,White,60000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,190000,1,40.0792,-98.8164
USA,PhD,Woman,White,94000,21,40.0792,-98.8164
USA,College Degree,Woman,White,49000,11,40.0792,-98.8164
USA,College degree,Woman,White,120000,11,40.0792,-98.8164
USA,Master's degree,Non-binary,White,28000,2,40.0792,-98.8164
USA,College degree,Woman,White,40575,8,40.0792,-98.8164
USA,Master's degree,Woman,White,75500,8,40.0792,-98.8164
USA,College degree,Woman,White,127000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,70000,5,40.0792,-98.8164
USA,College degree,Woman,White,111400,5,40.0792,-98.8164
USA,College degree,Woman,White,61000,31,40.0792,-98.8164
USA,Master's degree,Woman,White,47250,5,40.0792,-98.8164
USA,College Degree,Man,White,100000,11,40.0792,-98.8164
USA,College degree,Woman,White,45000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,78167,5,40.0792,-98.8164
USA,College degree,Woman,White,187500,8,40.0792,-98.8164
USA,Master's degree,Woman,White,124000,21,40.0792,-98.8164
USA,College degree,Man,White,108000,21,40.0792,-98.8164
USA,Master's degree,Woman,White,115000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,83000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,124000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,45000,5,40.0792,-98.8164
USA,PhD,Woman,White,93000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,134550,11,40.0792,-98.8164
USA,Master's degree,Woman,White,71697,5,40.0792,-98.8164
USA,College degree,Woman,White,120000,11,40.0792,-98.8164
USA,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin",52000,5,40.0792,-98.8164
USA,College degree,Man,White,49840,21,40.0792,-98.8164
USA,Master's degree,Woman,White,150000,21,40.0792,-98.8164
USA,College degree,Woman,Asian or Asian American,105000,2,40.0792,-98.8164
USA,Master's degree,Woman,Asian or Asian American,105500,11,40.0792,-98.8164
USA,College degree,Man,White,150000,5,40.0792,-98.8164
USA,College degree,Woman,White,125000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,63000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,112000,5,40.0792,-98.8164
USA,Master's degree,Woman,Black or African American,120000,21,40.0792,-98.8164
USA,College degree,Woman,White,45000,1,40.0792,-98.8164
USA,Master's degree,Woman,White,75000,8,40.0792,-98.8164
USA,College degree,Woman,Black or African American,64000,1,40.0792,-98.8164
USA,College degree,Woman,White,84000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,78000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,70000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,120000,31,40.0792,-98.8164
USA,College degree,Woman,White,114400,11,40.0792,-98.8164
USA,College degree,Woman,White,58300,2,40.0792,-98.8164
USA,College degree,Woman,White,700000,5,40.0792,-98.8164
USA,Master's degree,Prefer not to answer,Another option not listed here or prefer not to answer,345000,21,40.0792,-98.8164
USA,College degree,Woman,White,143000,8,40.0792,-98.8164
USA,College degree,Woman,White,141000,11,40.0792,-98.8164
USA,College degree,Man,White,128500,21,40.0792,-98.8164
USA,College degree,Woman,White,38480,5,40.0792,-98.8164
USA,Master's degree,Man,White,37000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,55000,2,40.0792,-98.8164
USA,College degree,Woman,White,53500,8,40.0792,-98.8164
USA,Master's degree,Woman,White,49600,2,40.0792,-98.8164
USA,College degree,Woman,White,50000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,63500,2,40.0792,-98.8164
USA,College degree,Woman,White,65000,5,40.0792,-98.8164
USA,College degree,Woman,White,43680,2,40.0792,-98.8164
USA,College degree,Woman,White,67700,5,40.0792,-98.8164
USA,Master's degree,Woman,White,75000,11,40.0792,-98.8164
USA,College degree,Woman,White,75500,1,40.0792,-98.8164
USA,College degree,Woman,White,38000,8,40.0792,-98.8164
USA,College degree,Woman,White,105000,11,40.0792,-98.8164
USA,PhD,Woman,White,309000,8,40.0792,-98.8164
USA,College degree,Woman,White,77000,5,40.0792,-98.8164
USA,College degree,Woman,White,55000,11,40.0792,-98.8164
USA,Master's degree,Prefer not to answer,White,67200,2,40.0792,-98.8164
USA,College degree,Woman,White,43500,11,40.0792,-98.8164
USA,College degree,Woman,White,94000,5,40.0792,-98.8164
USA,Master's degree,Woman,White,173000,21,40.0792,-98.8164
USA,PhD,Woman,White,125500,5,40.0792,-98.8164
USA,College degree,Man,White,186000,31,40.0792,-98.8164
USA,College degree,Woman,White,51000,5,40.0792,-98.8164
USA,College degree,Man,White,62800,5,40.0792,-98.8164
USA,College degree,Woman,Asian or Asian American,186000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,71750,8,40.0792,-98.8164
USA,Master's degree,Man,Asian or Asian American,70000,2,40.0792,-98.8164
USA,Master's degree,Woman,White,87000,8,40.0792,-98.8164
USA,College degree,Woman,White,157000,21,40.0792,-98.8164
USA,College degree,Woman,White,42120,2,40.0792,-98.8164
USA,Master's degree,Woman,White,70000,2,40.0792,-98.8164
USA,College degree,Man,White,85000,8,40.0792,-98.8164
USA,College degree,Woman,White,89000,8,40.0792,-98.8164
USA,College degree,Woman,White,92000,11,40.0792,-98.8164
USA,PhD,Woman,White,94000,21,40.0792,-98.8164
USA,Master's degree,Woman,White,104000,21,40.0792,-98.8164
USA,College degree,Woman,White,96800,8,40.0792,-98.8164
USA,College Degree,Woman,White,52000,8,40.0792,-98.8164
USA,College degree,Woman,White,68000,8,40.0792,-98.8164
USA,College degree,Man,White,350000,11,40.0792,-98.8164
USA,Master's degree,Woman,White,137000,5,40.0792,-98.8164
USA,College Degree,Woman,White,43000,5,40.0792,-98.8164
USA,College Degree,Woman,White,36712,5,40.0792,-98.8164
USA,College degree,Woman,White,112000,8,40.0792,-98.8164
USA,Master's degree,Woman,White,60000,8,40.0792,-98.8164
USA,High School,Woman,White,50000,2,40.0792,-98.8164
USA,College degree,Woman,White,52000,1,40.0792,-98.8164
USA,Master's degree,Woman,White,57000,2,40.0792,-98.8164
USA,College degree,Woman,White,52500,5,40.0792,-98.8164
