,age,country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
0,25-34,USA,Master's degree,Woman,White,55000.0,5,40.0792,-98.8164
1,25-34,USA,College Degree,Woman,White,34000.0,2,40.0792,-98.8164
2,25-34,USA,College Degree,Woman,White,65000.0,5,40.0792,-98.8164
3,25-34,USA,College Degree,Woman,White,67000.0,5,40.0792,-98.8164
4,25-34,USA,Master's degree,Man,White,62000.0,2,40.0792,-98.8164
5,25-34,USA,Master's degree,Man,White,50000.0,5,40.0792,-98.8164
6,45-54,USA,College Degree,Woman,White,122000.0,21,40.0792,-98.8164
7,35-44,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",45000.0,21,40.0792,-98.8164
8,25-34,USA,College Degree,Woman,White,47500.0,5,40.0792,-98.8164
9,35-44,USA,PhD,Woman,"Hispanic, Latino, or Spanish origin",62000.0,5,40.0792,-98.8164
10,35-44,USA,College Degree,Man,Asian or Asian American,100000.0,11,40.0792,-98.8164
11,35-44,USA,College Degree,Woman,White,90000.0,8,40.0792,-98.8164
12,35-44,USA,Master's degree,Woman,White,99000.0,2,40.0792,-98.8164
13,35-44,USA,Master's degree,Woman,White,54000.0,11,40.0792,-98.8164
14,25-34,USA,Master's degree,Woman,White,74000.0,5,40.0792,-98.8164
15,35-44,USA,PhD,Woman,White,50000.0,2,40.0792,-98.8164
16,35-44,USA,PhD,Woman,Asian or Asian American,97000.0,2,40.0792,-98.8164
17,35-44,USA,Master's degree,Woman,White,60000.0,1,40.0792,-98.8164
18,25-34,USA,College Degree,Man,White,62000.0,2,40.0792,-98.8164
19,35-44,USA,College Degree,Woman,Another option not listed here or prefer not to answer,52000.0,2,40.0792,-98.8164
20,35-44,USA,Master's degree,Woman,White,140000.0,11,40.0792,-98.8164
21,25-34,USA,College Degree,Woman,White,80000.0,5,40.0792,-98.8164
22,25-34,USA,College Degree,Woman,White,39000.0,2,40.0792,-98.8164
23,35-44,USA,Master's degree,Woman,White,125000.0,8,40.0792,-98.8164
24,25-34,USA,College Degree,Woman,White,230000.0,11,40.0792,-98.8164
25,35-44,USA,College Degree,Woman,White,125000.0,11,40.0792,-98.8164
26,25-34,USA,College Degree,Woman,White,50000.0,2,40.0792,-98.8164
27,35-44,USA,Master's degree,Woman,White,68000.0,2,40.0792,-98.8164
28,18-24,USA,College Degree,Woman,White,41100.0,2,40.0792,-98.8164
29,25-34,USA,College Degree,Woman,White,86000.0,2,40.0792,-98.8164
30,35-44,USA,Master's degree,Woman,White,78000.0,5,40.0792,-98.8164
31,25-34,USA,College Degree,Woman,White,37000.0,2,40.0792,-98.8164
32,45-54,USA,College Degree,Woman,White,150000.0,21,40.0792,-98.8164
33,25-34,USA,College Degree,Man,White,65000.0,5,40.0792,-98.8164
34,25-34,USA,College Degree,Woman,White,192500.0,5,40.0792,-98.8164
35,25-34,USA,Master's degree,Man,White,130000.0,8,40.0792,-98.8164
36,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",68125.0,8,40.0792,-98.8164
37,35-44,USA,PhD,Woman,White,147100.0,5,40.0792,-98.8164
38,35-44,USA,College Degree,Woman,White,240850.0,11,40.0792,-98.8164
39,35-44,USA,PhD,Woman,White,96000.0,5,40.0792,-98.8164
40,25-34,USA,Master's degree,Woman,White,54000.0,1,40.0792,-98.8164
41,25-34,USA,College Degree,Woman,White,105000.0,8,40.0792,-98.8164
42,35-44,USA,Master's degree,Woman,White,75000.0,5,40.0792,-98.8164
43,35-44,USA,Master's degree,Woman,White,106000.0,11,40.0792,-98.8164
44,25-34,USA,PhD,Woman,"Hispanic, Latino, or Spanish origin",115000.0,5,40.0792,-98.8164
45,25-34,USA,College Degree,Woman,White,103500.0,5,40.0792,-98.8164
46,25-34,USA,College Degree,Woman,White,33200.0,2,40.0792,-98.8164
47,25-34,USA,College Degree,Woman,White,52000.0,8,40.0792,-98.8164
48,25-34,USA,Master's degree,Non-binary,White,70000.0,2,40.0792,-98.8164
49,25-34,USA,Master's degree,Woman,White,92400.0,5,40.0792,-98.8164
50,35-44,USA,Master's degree,Woman,White,53000.0,11,40.0792,-98.8164
51,25-34,USA,College Degree,Woman,White,36000.0,5,40.0792,-98.8164
52,25-34,USA,Master's degree,Woman,White,38000.0,2,40.0792,-98.8164
53,25-34,USA,Master's degree,Man,White,87000.0,2,40.0792,-98.8164
54,25-34,USA,College Degree,Woman,White,45000.0,5,40.0792,-98.8164
55,35-44,USA,College Degree,Woman,Another option not listed here or prefer not to answer,88000.0,8,40.0792,-98.8164
56,35-44,USA,Master's degree,Woman,White,71000.0,8,40.0792,-98.8164
57,45-54,USA,PhD,Woman,White,71000.0,11,40.0792,-98.8164
58,35-44,USA,Master's degree,Woman,White,75000.0,11,40.0792,-98.8164
59,35-44,USA,Master's degree,Woman,White,80000.0,11,40.0792,-98.8164
60,35-44,USA,Master's degree,Woman,White,125000.0,8,40.0792,-98.8164
61,35-44,USA,Master's degree,Woman,White,65000.0,11,40.0792,-98.8164
62,25-34,USA,College Degree,Woman,White,55000.0,2,40.0792,-98.8164
63,35-44,USA,College Degree,Woman,White,118000.0,5,40.0792,-98.8164
64,35-44,USA,Master's degree,Woman,White,65000.0,8,40.0792,-98.8164
65,25-34,USA,Master's degree,Woman,White,93500.0,2,40.0792,-98.8164
66,55-64,USA,Master's degree,Woman,White,240000.0,11,40.0792,-98.8164
67,25-34,USA,Master's degree,Woman,White,90000.0,5,40.0792,-98.8164
68,55-64,USA,Master's degree,Woman,White,70000.0,11,40.0792,-98.8164
69,45-54,USA,College Degree,Man,White,98166.0,21,40.0792,-98.8164
70,25-34,USA,Master's degree,Woman,White,63500.0,1,40.0792,-98.8164
71,25-34,USA,College Degree,Woman,White,49700.0,2,40.0792,-98.8164
72,55-64,USA,College Degree,Man,White,95000.0,31,40.0792,-98.8164
73,25-34,USA,College Degree,Woman,Asian or Asian American,39940.0,2,40.0792,-98.8164
74,25-34,USA,College Degree,Man,White,53000.0,5,40.0792,-98.8164
75,45-54,USA,College Degree,Woman,White,47255.0,21,40.0792,-98.8164
76,45-54,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",34361.0,11,40.0792,-98.8164
77,45-54,USA,College Degree,Woman,White,170000.0,21,40.0792,-98.8164
78,35-44,USA,College Degree,Woman,White,20000.0,2,40.0792,-98.8164
79,25-34,USA,Master's degree,Woman,Asian or Asian American,123303.0,5,40.0792,-98.8164
80,45-54,USA,PhD,Man,White,105000.0,11,40.0792,-98.8164
81,25-34,USA,Master's degree,Woman,White,105000.0,5,40.0792,-98.8164
82,35-44,USA,College Degree,Woman,White,121500.0,8,40.0792,-98.8164
